Plan_ID,Plan_Name,Provider_Company,URL,Product_Brochure_route,Plan_category,Coverage_Description,pricing,age, customer requirement, price structure, additional informations,Last_Updated
dental_026,Student Dental Benefit Scheme 2024–2026,CPCE,https://sao.cpce-polyu.edu.hk/CARES/Student_Dental_Benefit_Scheme_2024-2026.pdf,https://sao.cpce-polyu.edu.hk/CARES/Student_Dental_Benefit_Scheme_2024-2026.pdf,dental,"Subsidized outpatient dental care at the PolyU Student Dental Clinic (with referral to B&J clinics if campus waiting time exceeds 3 weeks), including oral exam/consultation, scalin; specialist oral surgery cases may be referred and quoted","HK$: oral exam first visit per academic year free, subsequent visit 30; scaling/polishing 80",,Eligible CPCE students in full-time programmes leading to PolyU-HKCC or PolyU-SPEED awards; present student ID card at clinic,"Subsidized fixed fee per treatment item, with some free services; quotation-based fees for specialist-referred oral surgery",Effective from 1 Jul 2024; appointments via campus clinic (2330 9414); cancellation with less than 24 hours notice incurs HK$30 penalty (per 15-minute dentist slot / per 30-minute hygienist slot),2026-03-04
dental_027,Off-campus Student Dental Scheme (details page),HKBU,https://eo.hkbu.edu.hk/eo-services/services-facilities/medical-services.html,https://eo.hkbu.edu.hk/eo-services/services-facilities/medical-services.html,dental,"Basic off-campus dental package: scaling/polishing once; unlimited dental examinations, intra-oral small film radiographs (when dentist-required), and emergency abscess drainage plus 3-day pain/infection medication",HK$240/year (HKBU/HKBU-SCE students except part-time self-funded); HK$320/year (HKBU/HKBU-SCE part-time self-funded).,,HKBU/HKBU-SCE student eligibility; voluntary enrolment via online form or HKBU app,Annual flat fee by student category; other dental services charged separately,benefits period: 1 Oct 2025-31 Aug 2026; appointments must be booked in advance via UMP hotline/WhatsApp (scheduling through 31 Jul 2026),2026-03-04
dental_028,School Dental Care Service,Department of Health,https://www.schooldental.gov.hk/wsmile/en/aboutus_info,https://www.dh.gov.hk/tc_chi/useful/useful_fee/useful_fee_sdcs.html,dental,"Oral health education, oral examination, preventive treatment, basic restorative treatment, and emergency service during designated office hours; enrolled students receive one year of preventive/basic care",HK$36/year (Eligible Person); HK$835/year (Non-eligible Person) (effective 1 Sep 2023).,17,Primary school students under 18 as at 1 September; enrolment via participating-school joint form/online or individual clinic enrolment,Annual per-student flat fee tiered by Eligible Person vs Non-eligible Person status,Joint enrolment with Student Health Service; payment request SMS starts in October; application is accepted only after full payment and fees are non-refundable,2026-03-04
dental_029,Community Dental Support Plan,Department of Health,https://www.communitydental.gov.hk/tc/cdsp/introduction_of_cdsp.html,https://www.communitydental.gov.hk/files/cdsp/public/cdsp_pamphlet.pdf,dental,"Government-subsidised NGO dental care: every 180 days oral health assessment, X-ray, pain-relief medication, filling/extraction, and bridge/crown removal; every 365 days scaling and root canal treatment; removable dentures every 5 years or more (for participants with fewer than 20 teeth), subject to dentist assessment",Category A: administration fee fully subsidised for 180/365-day services; HK$500/set for removable dentures. Category B: oral assessment/X-ray/pain-relief medication free,,Valid Hong Kong identity card holder; enrolled in eHealth,"Government-subsidised administration/co-payment model with Category A vs Category B tiers; charges are service-based (per visit/per tooth/per bridge/per crown/per denture set) with 180-day, 365-day, and 5+ year quotas",participants pay administration/co-payment fees directly to participating NGOs,2026-03-04
dental_030,Dental Plan K21,Credit Union League of HK,https://home.culhk.org/files/Welfare/Dental_PlanK21_02217.pdf,https://home.culhk.org/files/Welfare/Dental_PlanK21_02217.pdf,dental,"Annual scaling and polishing; unlimited oral check-up/hygiene instruction, intra-oral X-ray (when necessary), fluoride varnish (when necessary), fillings for caries, simple extraction, emergency treatment, and; excludes wisdom teeth/surgical/orthodontic extractions and specialist treatment",HK$390,,Only for CULHK member credit union members and their family,single flat fee (period not stated),"Free consultation and examination for Oral Implant ""Teeth-in-an-hour"" treatment at Central Clinic",2026-03-04
dental_031,Dental Plan K12,Credit Union League of HK,https://home.culhk.org/files/Welfare/Dental_PlanK12_022217.pdf,https://home.culhk.org/files/Welfare/Dental_PlanK12_022217.pdf,dental,"Scaling/polishing twice yearly; unlimited oral check-up/hygiene instruction, intra-oral X-ray (when necessary), fluoride treatment (when necessary), caries fillings, simple extraction, emergency care, and related; excludes specialist treatment and wisdom-tooth/surgical/orthodontic extractions",HK$470,,Only CULHK member credit union members and their family,fixed single-tier fee,Free oral implant “Teeth-in-an-hour” consultation and examination at Central Clinic,2026-03-04
dental_032,Dental Service Plan 2025–2026,Credit Union League of HK,https://home.culhk.org/files/Welfare/2025_2026_Dental_Servic_Plan.pdf,https://home.culhk.org/files/Welfare/2025_2026_Dental_Servic_Plan.pdf,dental,"Network dental plan (K21/K12): scaling & polishing (K21: 1 visit; K12: 2 visits), unlimited oral check-up/hygiene instruction, intra-oral X-ray and fluoride when needed, caries fillings, simple extraction, emergency pain relief, non-surgical absc; excludes specialist care, OPG/CT/Lateral Ceph imaging, wisdom/surgical/orthodontic extractions, and non-caries fillings","Annual plan fee amount not shown; member preferential rates for non-covered services, e.g., further scaling HK$350 (list HK$650), additional fillings HK$450+ (list HK$650-750+), root canal HK$3,600-4,500+, tooth whitening HK$3,500-6,930.",,Eligible employees and eligible dependents; enrolment subject to Health & Care approval/confirmation,Full annual fee charged even for mid-year joiners; fee is non-refundable and non-transferable,Plan term 1 Jul 2025-30 Jun 2026; unused items forfeited at expiry with no extension; scaling appointments via hotline and should be booked at least 2 months before plan end,2026-03-04
dental_033,Dental Care Plan,HKFLU,https://welfare.hkflu.org.hk/upload/leaflet/Dental_Care_202105.pdf,https://welfare.hkflu.org.hk/upload/leaflet/Dental_Care_202105.pdf,dental,"Two options: K12 (2 annual scaling/cleaning visits) or K21 (1 annual scaling/cleaning visit), plus oral exam, needed intraoral X-rays/fluoride, caries-related fillings, simple extr; excludes specialist care, deep scaling, major imaging, wisdom/surgical/orthodontic extractions, and non-caries/cosmetic fillings","HK$575/year (Plan K12, 2 cleanings); HK$470/year (Plan K21, 1 cleaning).",,"For eligible HKFLU affiliated member-union members and their family (parents, spouse, children, siblings); family enrollment requires the member to join a plan",Fixed annual fee paid in full; non-refundable,2021-2022 cycle: apply from 2021-05-01 and complete services by 2022-04-30; registration takes about 14-15 working days; late-cancel/no-show rules apply (24-hour notice,2026-03-04
dental_034,Dental plan member benefits,ESOU,https://esou.org.hk/upload/member_benefits/original/777775434994.pdf,https://esou.org.hk/upload/member_benefits/original/777775434994.pdf,dental,"Scaling/polishing (K12: twice/year; K21: once/year), oral check-up & hygiene instruction, necessary intra-oral X-ray and fluoride varnish, caries fillings, simple extraction, and emergency temporary pain/filling/absc; excludes wisdom/surgical/orthodontic extractions and specialist treatment","K12: HK$420; K21: HK$370; optional professional 1-hour tooth whitening: HK$6,300 (original HK$7,800).",,ESOU company staff and their family members only,Fixed fee by plan option (K12/K21) with optional add-on package; separate discounted itemized charges for other treatments,"Free consultation/examination for oral implant ""Teeth-in-an-hour"" at Central Clinic; prices subject to change without prior notice",2026-03-04
dental_035,Dental Scheme full set for 2025,SHKSA,https://members.shksa.com/uploads/public/docs/SO-full%2Bset%2Bfor%2B2025.pdf,https://members.shksa.com/uploads/public/docs/SO-full%2Bset%2Bfor%2B2025.pdf,dental,"Bi-annual exam and scaling/polishing; unlimited consultations, intra-oral X-rays, decay-related fillings, simple extractions, office-hours emergency consultations/dressings, and medication; procedures requiring monitored anaesthetic care are excluded",HK$680 per enrolled member for 1 Apr 2025-31 Mar 2026 (enrollment form premium).,,"Swire group staff/pensioners and eligible family members (spouse, children, parents, siblings); enrollment form, staff card copy, and ID/relationship proof when requested",Flat per-member premium; non-covered services offered at 10%-40% discount,Advance appointment required; premium is non-refundable; application processing about 5 working days,2026-03-04
